variable,long_name,component,experiment,frequency,vertical_levels,spatial_domain,units,start_time,end_time,path
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,HIST,daily,1.0,global_land,kg/m2,1850-01-01 12:00:00,1919-12-31 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-HIST-SOILWATER_10CM.zarr
FSNO,fraction of ground covered by snow,lnd,RCP85,daily,1.0,global_land,unitless,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,RCP85,daily,1.0,global_land,mm,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-RAIN.zarr
SNOW,atmospheric snow,lnd,RCP85,daily,1.0,global_land,mm/s,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-SNOW.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,RCP85,daily,1.0,global_land,kg/m2,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-SOILWATER_10CM.zarr
TREFMNAV_U,urban daily minimum of average 2-m temperature,lnd,RCP85,daily,1.0,global_land,K,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-TREFMNAV_U.zarr
TREFMXAV_U,urban daily maximum of average 2-m temperature,lnd,RCP85,daily,1.0,global_land,K,2006-01-01 12:00:00,2101-01-01 12:00:00,s3://ncar-cesm-lens/lnd/daily/cesmLE-RCP85-TREFMXAV_U.zarr
FSNO,fraction of ground covered by snow,lnd,20C,monthly,1.0,global_land,unitless,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,20C,monthly,1.0,global_land,mm,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-RAIN.zarr
SNOW,atmospheric snow,lnd,20C,monthly,1.0,global_land,mm/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SNOW.zarr
SOILLIQ,soil liquid water (vegetated landunits only),lnd,20C,monthly,1.0,global_land,kg/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SOILLIQ.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,20C,monthly,1.0,global_land,kg/m2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-20C-SOILWATER_10CM.zarr
FSNO,fraction of ground covered by snow,lnd,CTRL,monthly,1.0,global_land,unitless,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,CTRL,monthly,1.0,global_land,mm,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-RAIN.zarr
SNOW,atmospheric snow,lnd,CTRL,monthly,1.0,global_land,mm/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SNOW.zarr
SOILLIQ,soil liquid water (vegetated landunits only),lnd,CTRL,monthly,1.0,global_land,kg/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SOILLIQ.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,CTRL,monthly,1.0,global_land,kg/m2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-CTRL-SOILWATER_10CM.zarr
FSNO,fraction of ground covered by snow,lnd,HIST,monthly,1.0,global_land,unitless,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,HIST,monthly,1.0,global_land,mm,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-RAIN.zarr
SNOW,atmospheric snow,lnd,HIST,monthly,1.0,global_land,mm/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-SNOW.zarr
SOILLIQ,soil liquid water (vegetated landunits only),lnd,HIST,monthly,1.0,global_land,kg/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-SOILLIQ.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,HIST,monthly,1.0,global_land,kg/m2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-HIST-SOILWATER_10CM.zarr
FSNO,fraction of ground covered by snow,lnd,RCP85,monthly,1.0,global_land,unitless,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-FSNO.zarr
H2OSNO,snow depth (liquid water),lnd,RCP85,monthly,1.0,global_land,mm,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-H2OSNO.zarr
QRUNOFF,total liquid runoff (does not include qsnwcpice),lnd,RCP85,monthly,1.0,global_land,mm/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-QRUNOFF.zarr
RAIN,atmospheric rain,lnd,RCP85,monthly,1.0,global_land,mm/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-RAIN.zarr
SNOW,atmospheric snow,lnd,RCP85,monthly,1.0,global_land,mm/s,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-SNOW.zarr
SOILLIQ,soil liquid water (vegetated landunits only),lnd,RCP85,monthly,1.0,global_land,kg/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-SOILLIQ.zarr
SOILWATER_10CM,soil liquid water + ice in top 10cm of soil (veg landunits only),lnd,RCP85,monthly,1.0,global_land,kg/m2,2006-01-16 12:00:00,2100-12-16 12:00:00,s3://ncar-cesm-lens/lnd/monthly/cesmLE-RCP85-SOILWATER_10CM.zarr
,,lnd,CTRL,static,,global_land,,,,s3://ncar-cesm-lens/lnd/static/grid.zarr
,,lnd,HIST,static,,global_land,,,,s3://ncar-cesm-lens/lnd/static/grid.zarr
,,lnd,RCP85,static,,global_land,,,,s3://ncar-cesm-lens/lnd/static/grid.zarr
,,lnd,20C,static,,global_land,,,,s3://ncar-cesm-lens/lnd/static/grid.zarr
DIC,dissolved inorganic carbon,ocn,20C,monthly,60.0,global_ocean,mmol/m^3,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-DIC.zarr
DOC,dissolved organic carbon,ocn,20C,monthly,60.0,global_ocean,mmol/m^3,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-DOC.zarr
FW,freshwater flux,ocn,20C,monthly,1.0,global_ocean,centimeter/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-FW.zarr
HMXL,mixed-layer depth,ocn,20C,monthly,1.0,global_ocean,centimeter,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-HMXL.zarr
O2,dissolved oxygen,ocn,20C,monthly,60.0,global_ocean,mmol/m^3,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-O2.zarr
PD,potential density ref to surface,ocn,20C,monthly,60.0,global_ocean,gram/centimeter^3,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-PD.zarr
QFLUX,internal ocean heat flux due to ice formation; heat of fusion > 0 or ice-melting potential < 0,ocn,20C,monthly,1.0,global_ocean,Watts/meter^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-QFLUX.zarr
QSW_HBL,solar short-wave heat flux in bndry layer,ocn,20C,monthly,1.0,global_ocean,watt/m^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-QSW_HBL.zarr
QSW_HTP,solar short-wave heat flux in top layer,ocn,20C,monthly,1.0,global_ocean,watt/m^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-QSW_HTP.zarr
RESID_S,free-surface residual flux (s),ocn,20C,monthly,1.0,global_ocean,kg/m^2/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-RESID_S.zarr
SALT,salinity,ocn,20C,monthly,60.0,global_ocean,gram/kilogram,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SALT.zarr
SFWF,virtual salt flux in fw flux formulation,ocn,20C,monthly,1.0,global_ocean,kg/m^2/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SFWF.zarr
SFWF_WRST,virtual salt flux due to weak restoring,ocn,20C,monthly,1.0,global_ocean,kg/m^2/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SFWF_WRST.zarr
SHF,"total surface heat flux, including sw",ocn,20C,monthly,1.0,global_ocean,watt/m^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SHF.zarr
SHF_QSW,solar short-wave heat flux,ocn,20C,monthly,1.0,global_ocean,watt/m^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SHF_QSW.zarr
SSH,sea surface height,ocn,20C,monthly,1.0,global_ocean,centimeter,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SSH.zarr
SST,potential temperature,ocn,20C,monthly,1.0,global_ocean,degC,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-SST.zarr
TAUX,windstress in grid-x direction,ocn,20C,monthly,1.0,global_ocean,dyne/centimeter^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-TAUX.zarr
TAUX2,windstress**2 in grid-x direction,ocn,20C,monthly,1.0,global_ocean,dyne^2/centimeter^4,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-TAUX2.zarr
TAUY,windstress in grid-y direction,ocn,20C,monthly,1.0,global_ocean,dyne/centimeter^2,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-TAUY.zarr
TAUY2,windstress**2 in grid-y direction,ocn,20C,monthly,1.0,global_ocean,dyne^2/centimeter^4,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-TAUY2.zarr
TEMP,potential temperature,ocn,20C,monthly,60.0,global_ocean,degC,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-TEMP.zarr
UES,salt flux in grid-x direction,ocn,20C,monthly,60.0,global_ocean,gram/kilogram/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-UES.zarr
UET,flux of heat in grid-x direction,ocn,20C,monthly,60.0,global_ocean,degC/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-UET.zarr
UVEL,velocity in grid-x direction,ocn,20C,monthly,60.0,global_ocean,centimeter/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-UVEL.zarr
VNS,salt flux in grid-y direction,ocn,20C,monthly,60.0,global_ocean,gram/kilogram/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-VNS.zarr
VNT,flux of heat in grid-y direction,ocn,20C,monthly,60.0,global_ocean,degC/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-VNT.zarr
VVEL,velocity in grid-y direction,ocn,20C,monthly,60.0,global_ocean,centimeter/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-VVEL.zarr
WTS,salt flux across top face,ocn,20C,monthly,60.0,global_ocean,gram/kilogram/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-WTS.zarr
WTT,heat flux across top face,ocn,20C,monthly,60.0,global_ocean,degC/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-WTT.zarr
WVEL,vertical velocity,ocn,20C,monthly,60.0,global_ocean,centimeter/s,1920-01-16 12:00:00,2005-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-20C-WVEL.zarr
DIC,dissolved inorganic carbon,ocn,CTRL,monthly,60.0,global_ocean,mmol/m^3,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-DIC.zarr
DOC,dissolved organic carbon,ocn,CTRL,monthly,60.0,global_ocean,mmol/m^3,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-DOC.zarr
FW,freshwater flux,ocn,CTRL,monthly,1.0,global_ocean,centimeter/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-FW.zarr
HMXL,mixed-layer depth,ocn,CTRL,monthly,1.0,global_ocean,centimeter,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-HMXL.zarr
O2,dissolved oxygen,ocn,CTRL,monthly,60.0,global_ocean,mmol/m^3,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-O2.zarr
PD,potential density ref to surface,ocn,CTRL,monthly,60.0,global_ocean,gram/centimeter^3,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-PD.zarr
QFLUX,internal ocean heat flux due to ice formation; heat of fusion > 0 or ice-melting potential < 0,ocn,CTRL,monthly,1.0,global_ocean,Watts/meter^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-QFLUX.zarr
QSW_HBL,solar short-wave heat flux in bndry layer,ocn,CTRL,monthly,1.0,global_ocean,watt/m^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-QSW_HBL.zarr
QSW_HTP,solar short-wave heat flux in top layer,ocn,CTRL,monthly,1.0,global_ocean,watt/m^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-QSW_HTP.zarr
RESID_S,free-surface residual flux (s),ocn,CTRL,monthly,1.0,global_ocean,kg/m^2/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-RESID_S.zarr
SALT,salinity,ocn,CTRL,monthly,60.0,global_ocean,gram/kilogram,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SALT.zarr
SFWF,virtual salt flux in fw flux formulation,ocn,CTRL,monthly,1.0,global_ocean,kg/m^2/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SFWF.zarr
SFWF_WRST,virtual salt flux due to weak restoring,ocn,CTRL,monthly,1.0,global_ocean,kg/m^2/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SFWF_WRST.zarr
SHF,"total surface heat flux, including sw",ocn,CTRL,monthly,1.0,global_ocean,watt/m^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SHF.zarr
SHF_QSW,solar short-wave heat flux,ocn,CTRL,monthly,1.0,global_ocean,watt/m^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SHF_QSW.zarr
SSH,sea surface height,ocn,CTRL,monthly,1.0,global_ocean,centimeter,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SSH.zarr
SST,potential temperature,ocn,CTRL,monthly,1.0,global_ocean,degC,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-SST.zarr
TAUX,windstress in grid-x direction,ocn,CTRL,monthly,1.0,global_ocean,dyne/centimeter^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-TAUX.zarr
TAUX2,windstress**2 in grid-x direction,ocn,CTRL,monthly,1.0,global_ocean,dyne^2/centimeter^4,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-TAUX2.zarr
TAUY,windstress in grid-y direction,ocn,CTRL,monthly,1.0,global_ocean,dyne/centimeter^2,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-TAUY.zarr
TAUY2,windstress**2 in grid-y direction,ocn,CTRL,monthly,1.0,global_ocean,dyne^2/centimeter^4,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-TAUY2.zarr
TEMP,potential temperature,ocn,CTRL,monthly,60.0,global_ocean,degC,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-TEMP.zarr
UES,salt flux in grid-x direction,ocn,CTRL,monthly,60.0,global_ocean,gram/kilogram/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-UES.zarr
UET,flux of heat in grid-x direction,ocn,CTRL,monthly,60.0,global_ocean,degC/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-UET.zarr
UVEL,velocity in grid-x direction,ocn,CTRL,monthly,60.0,global_ocean,centimeter/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-UVEL.zarr
VNS,salt flux in grid-y direction,ocn,CTRL,monthly,60.0,global_ocean,gram/kilogram/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-VNS.zarr
VNT,flux of heat in grid-y direction,ocn,CTRL,monthly,60.0,global_ocean,degC/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-VNT.zarr
VVEL,velocity in grid-y direction,ocn,CTRL,monthly,60.0,global_ocean,centimeter/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-VVEL.zarr
WTS,salt flux across top face,ocn,CTRL,monthly,60.0,global_ocean,gram/kilogram/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-WTS.zarr
WTT,heat flux across top face,ocn,CTRL,monthly,60.0,global_ocean,degC/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-WTT.zarr
WVEL,vertical velocity,ocn,CTRL,monthly,60.0,global_ocean,centimeter/s,0400-01-16 12:00:00,2200-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-CTRL-WVEL.zarr
DIC,dissolved inorganic carbon,ocn,HIST,monthly,60.0,global_ocean,mmol/m^3,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-DIC.zarr
DOC,dissolved organic carbon,ocn,HIST,monthly,60.0,global_ocean,mmol/m^3,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-DOC.zarr
FW,freshwater flux,ocn,HIST,monthly,1.0,global_ocean,centimeter/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-FW.zarr
HMXL,mixed-layer depth,ocn,HIST,monthly,1.0,global_ocean,centimeter,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-HMXL.zarr
O2,dissolved oxygen,ocn,HIST,monthly,60.0,global_ocean,mmol/m^3,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-O2.zarr
PD,potential density ref to surface,ocn,HIST,monthly,60.0,global_ocean,gram/centimeter^3,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-PD.zarr
QFLUX,internal ocean heat flux due to ice formation; heat of fusion > 0 or ice-melting potential < 0,ocn,HIST,monthly,1.0,global_ocean,Watts/meter^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-QFLUX.zarr
QSW_HBL,solar short-wave heat flux in bndry layer,ocn,HIST,monthly,1.0,global_ocean,watt/m^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-QSW_HBL.zarr
QSW_HTP,solar short-wave heat flux in top layer,ocn,HIST,monthly,1.0,global_ocean,watt/m^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-QSW_HTP.zarr
RESID_S,free-surface residual flux (s),ocn,HIST,monthly,1.0,global_ocean,kg/m^2/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-RESID_S.zarr
SALT,salinity,ocn,HIST,monthly,60.0,global_ocean,gram/kilogram,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SALT.zarr
SFWF,virtual salt flux in fw flux formulation,ocn,HIST,monthly,1.0,global_ocean,kg/m^2/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SFWF.zarr
SFWF_WRST,virtual salt flux due to weak restoring,ocn,HIST,monthly,1.0,global_ocean,kg/m^2/s,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SFWF_WRST.zarr
SHF,"total surface heat flux, including sw",ocn,HIST,monthly,1.0,global_ocean,watt/m^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SHF.zarr
SHF_QSW,solar short-wave heat flux,ocn,HIST,monthly,1.0,global_ocean,watt/m^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SHF_QSW.zarr
SSH,sea surface height,ocn,HIST,monthly,1.0,global_ocean,centimeter,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SSH.zarr
SST,potential temperature,ocn,HIST,monthly,1.0,global_ocean,degC,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-SST.zarr
TAUX,windstress in grid-x direction,ocn,HIST,monthly,1.0,global_ocean,dyne/centimeter^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-TAUX.zarr
TAUX2,windstress**2 in grid-x direction,ocn,HIST,monthly,1.0,global_ocean,dyne^2/centimeter^4,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-TAUX2.zarr
TAUY,windstress in grid-y direction,ocn,HIST,monthly,1.0,global_ocean,dyne/centimeter^2,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-TAUY.zarr
TAUY2,windstress**2 in grid-y direction,ocn,HIST,monthly,1.0,global_ocean,dyne^2/centimeter^4,1850-01-16 12:00:00,1919-12-16 12:00:00,s3://ncar-cesm-lens/ocn/monthly/cesmLE-HIST-TAUY2.zarr
